fp3,fp2,fp1,qp,race,
8,7,11,8,8,
10,4,,11,7,
9,18,19,16,20,
9,15,14,14,10,
9,10,10,12,7,
7,5,9,6,6,
10,13,20,13,20,
13,13,16,15,8,
10,15,13,10,20,
17,11,11,13,20,
11,9,14,9,7,
9,9,7,13,10,
4,11,11,15,14,
12,12,10,4,
15,16,14,20,
13,13,17,19,20,
8,11,10,7,7,
9,11,11,8,20,
10,11,15,8,11,
9,13,15,12,20,
5,11,9,9,10,
8,12,8,10,11,
9,8,8,9,9,
16,8,20,9,5,
8,17,15,9,7,
9,10,6,8,10,
14,17,8,9,8,
2,12,11,7,8,
5,11,9,9,10,
8,12,8,10,11,
9,8,8,9,9,
16,8,20,9,5,
8,17,15,9,7,
