fp3,fp2,fp1,qp,race,
6,5,3,15,20,
7,8,,5,4,
7,3,2,4,5,
8,6,6,5,20,
6,6,6,6,3,
6,2,5,5,3,
8,15,9,6,3,
4,3,2,10,1,
6,5,5,4,3,
6,6,4,19,5,
8,1,1,6,20,
6,6,5,6,3,
8,6,5,16,4,
6,1,1,3,2,
3,3,2,4,3,
5,3,3,3,
9,5,16,4,20,
5,1,4,16,20,
5,3,5,14,6,
5,3,10,4,20,
6,7,6,8,4,
3,6,1,4,20,
15,9,4,6,1,
12,1,2,4,20,
5,2,7,6,5,
1,1,1,1,1,
5,3,3,6,4,
10,2,3,5,4,
6,7,6,8,4,
3,6,1,4,20,
15,9,4,6,1,
12,1,2,4,20,
5,2,7,6,5,
