fp3,fp2,fp1,qp,race,
16,13,16,13,10,
16,18,,17,10,
16,12,7,14,10,
12,11,10,10,7,
14,12,12,10,5,
13,15,10,15,12,
9,8,6,9,6,
5,9,7,7,6,
11,11,10,9,8,
12,10,12,7,8,
12,11,11,9,
12,8,8,9,9,
16,9,8,3,6,
11,10,13,14,10,
9,10,13,6,10,
6,2,7,5,6,
11,10,8,6,6,
8,10,6,5,
8,7,9,10,20,
13,8,9,8,
19,15,14,14,12,
13,13,19,8,10,
8,13,14,12,11,
9,7,5,7,20,
13,11,16,13,20,
12,13,11,6,6,
11,8,11,8,9,
11,16,12,11,20,
19,15,14,14,12,
13,13,19,8,10,
8,13,14,12,11,
9,7,5,7,20,
13,11,16,13,20,
