fp3,fp2,fp1,qp,race,
5,9,9,11,11,
11,11,,7,12,
8,6,12,7,9,
7,8,8,8,
7,7,9,13,6,
15,17,19,10,20,
6,12,15,10,8,
11,15,14,13,20,
12,9,11,13,
5,7,17,5,6,
7,7,9,12,17,
11,7,12,7,6,
3,12,17,14,13,
7,5,9,7,20,
14,9,8,16,
7,7,8,11,20,
7,12,13,18,20,
10,9,10,7,20,
14,9,16,7,10,
12,9,17,7,6,
18,13,13,7,7,
7,7,10,7,6,
11,6,10,7,6,
17,10,13,14,20,
11,13,17,16,20,
14,7,13,11,8,
8,14,20,7,7,
19,11,18,12,9,
18,13,13,7,7,
7,7,10,7,6,
11,6,10,7,6,
17,10,13,14,20,
11,13,17,16,20,
