fp3,fp2,fp1,qp,race,
4,4,5,4,4,
2,17,,4,5,
5,4,20,5,4,
2,2,1,2,3,
1,3,3,4,20,
2,3,7,1,2,
2,1,4,4,7,
2,4,9,3,14,
4,6,6,3,5,
4,3,5,2,3,
2,4,2,2,2,
1,2,1,4,4,
11,4,4,5,5,
9,9,7,4,20,
1,2,4,2,20,
20,6,4,10,5,
4,6,7,5,3,
6,5,6,5,3,
3,6,3,3,3,
3,4,4,5,4,
2,4,4,2,3,
1,1,3,2,20,
2,2,2,2,3,
3,2,15,6,2,
4,6,5,4,20,
4,5,5,4,4,
3,2,6,5,6,
13,4,4,6,3,
2,4,4,2,3,
1,1,3,2,20,
2,2,2,2,3,
3,2,15,6,2,
4,6,5,4,20,
