fp3,fp2,fp1,qp,race,
10,19,17,17,20,
12,10,,12,8,
17,11,16,20,20,
10,9,12,13,13,
12,15,7,11,14,
9,9,13,11,10,
17,14,12,18,12,
15,14,12,12,7,
7,7,12,15,20,
13,17,16,12,
16,17,15,13,
17,16,16,12,15,
15,17,12,9,11,
16,17,16,20,
13,18,17,12,
14,11,12,8,
16,14,11,17,16,
14,17,13,14,8,
13,14,13,20,
14,16,14,13,
17,9,17,5,20,
15,15,9,6,5,
6,7,7,11,10,
7,9,18,15,13,
6,8,11,7,6,
19,16,20,19,13,
17,13,15,11,13,
16,9,10,9,6,
17,9,17,5,20,
15,15,9,6,5,
6,7,7,11,10,
7,9,18,15,13,
6,8,11,7,6,
