fp3,fp2,fp1,qp,race,

,














15,17,14,19,13,
11,13,18,17,20,
17,17,20,18,20,
20,19,20,20,15,
12,16,18,16,15,
11,20,16,11,17,
14,15,16,15,20,
20,18,12,19,10,
17,18,18,20,12,
7,11,12,15,19,
12,12,16,12,20,
17,15,15,20,14,
12,16,18,16,15,
11,20,16,11,17,
14,15,16,15,20,
20,18,12,19,10,
17,18,18,20,12,
