fp3,fp2,fp1,qp,race,
12,6,4,5,5,
6,1,,16,3,
1,8,3,6,20,
5,5,4,7,5,
5,5,5,5,20,
4,6,3,4,5,
4,5,7,5,20,
6,1,1,5,20,
5,4,2,5,20,
8,5,3,4,4,
4,6,4,5,5,
4,4,4,5,20,
9,5,6,13,10,
1,2,3,2,20,
6,4,1,3,1,
4,6,4,2,
5,2,4,16,4,
1,3,3,2,1,
9,5,4,4,5,
6,6,3,6,5,
4,2,3,4,6,
2,5,20,15,20,
4,5,5,5,5,
4,3,6,5,20,
12,3,4,5,3,
2,2,2,20,9,
1,1,1,3,3,
20,3,7,4,2,
4,2,3,4,6,
2,5,20,15,20,
4,5,5,5,5,
4,3,6,5,20,
12,3,4,5,3,
