fp3,fp2,fp1,qp,race,
13,11,10,10,7,
13,19,,8,9,
11,15,4,18,7,
15,10,7,9,6,
13,14,11,8,4,
11,7,8,7,13,
13,10,5,8,5,
10,7,4,6,20,
18,17,7,7,
15,13,13,6,9,
14,12,12,13,8,
8,12,14,8,17,
19,14,7,10,9,
10,8,5,12,5,
7,8,15,9,6,
9,3,13,7,7,
10,9,9,9,8,
7,8,7,9,7,
7,12,5,9,
10,7,6,8,7,
20,12,16,12,11,
14,14,18,12,16,
7,11,13,8,12,
6,12,3,8,3,
16,10,13,15,9,
13,12,8,9,12,
7,9,10,14,
9,19,9,13,20,
20,12,16,12,11,
14,14,18,12,16,
7,11,13,8,12,
6,12,3,8,3,
16,10,13,15,9,
